PCA1,PCA2,Cluster
-1.6438356054808652,-0.41551541215274096,4
-1.9223104954788466,0.13995364046443015,3
-0.7139003673470926,0.6502522134557411,1
1.9385183330921605,0.1548165263366419,0
-0.5808820861481101,0.43854893343481516,1
-2.8272413580850957,-1.7102924098686363,4
-0.7726670054414645,0.5173141395380678,1
1.672804535992254,1.3004200904622818,2
2.739805398648076,0.6523568453532936,2
0.14673247298978825,-0.806497932049977,4
1.0486808525388047,1.1591027270671765,1
1.9944163749262138,-0.6368612974885568,0
-0.5790644118706291,-1.1357390017572442,4
-0.49519162413617057,-1.1239795912554431,4
-1.1800453599065546,-1.3757979051706748,4
-1.5153133336366171,-1.318589265451776,4
-1.867972694977354,0.07017800327917371,3
-1.2553774420194126,-0.759759282829655,4
0.0479251137385034,-1.645757104369502,4
1.508581448618167,-0.7979185733303927,0
-0.4456103987750708,-1.4658091217265286,4
-1.4080650732896036,0.2234974043269023,3
1.6459982627857073,-0.785543521949384,0
-1.461020577047054,-1.5696047410854903,4
-0.3260045448330977,-1.3331810353616818,4
-1.185130960065026,-0.00984191706182208,4
1.692574157375044,0.6799548734546659,0
-0.42408152279180833,-0.9965064554678882,4
0.24939236053747157,-1.327922345784149,4
2.021134643954052,0.14618839701164787,0
-0.06463554436103253,-0.6853339134667017,4
-0.36195555426069315,-1.283783669851474,4
-3.6847516819100514,-1.5737857192330766,3
-3.2253909018888107,0.7602816292346894,3
-2.051940090040856,-1.205603017994761,4
-1.011453187315863,-0.9396655936281803,4
3.5488406676249276,-0.05169132351653072,2
3.491165905940373,0.8915518546698529,2
-0.8756376193190206,0.9091661443880461,1
-2.0810074834657772,-2.0344426235881357,4
-2.030341990681795,-2.0025437200708294,4
2.0788722556658126,1.6193013223499504,2
0.6182606020994242,-1.0311310484931804,0
3.511815522619247,0.4098534026403938,2
1.7990698641454406,-0.14336205801317004,0
-2.1698153868599324,-1.6612105749563684,4
2.7022506355651967,-0.6440263097793563,2
-2.288800381814407,-1.7174319382774161,4
-0.731101955988447,1.0944680025452567,1
-1.7627865682700858,0.16161370940052394,3
1.115590097850667,1.0462079243092242,0
-0.377305353007124,0.7362735329577847,1
2.5550697690442896,-0.5623527997062314,0
0.16587637325423676,0.43492258412080986,1
-0.44256607571852713,-1.2107406070190174,4
-1.4026013221683462,-1.1338540152830616,4
1.275509916687905,0.20371949341150414,0
0.3540355713339952,-0.3968926555911369,0
0.10273064946772059,-1.0314552797508,4
-1.1693364108786124,-0.6001445350162682,4
-2.3360864928106344,-1.6299836220024893,4
-0.48164301335382476,-0.2813244983942424,4
-1.1520685252018275,-0.7253624168074508,4
-2.524354223985061,-1.360039383279846,4
1.0565938731565105,0.03937814391346399,0
2.327905251764557,-0.5329721551656692,0
2.7244059210496094,0.17278762151795518,2
-0.9877244075195157,-0.14281224838815282,4
2.3665663754086537,-0.3644541118290411,0
-0.561453184298345,-0.15778170104630523,4
1.4473204040673189,0.6162095607231697,0
2.9617690420160776,0.18580215428581603,2
2.5621949647122917,0.649935700107459,2
-0.3011869966715949,0.40540157348705064,1
-1.2300640164452854,-0.9713382517852016,4
-2.436407518810547,0.8389573187999889,3
2.8929255922878268,1.564325586378841,2
2.316258630927764,0.1885023558366507,2
2.6093145089872465,2.0767821876513852,2
2.1157923887905734,-0.29833619906201136,0
0.25343872525966016,2.615610352505425,1
1.8048744317419283,0.1171814373076653,0
-1.3506229245345642,0.3757239456751718,1
-1.0505094594831976,2.2771197935981524,1
-0.8670165489185148,2.306149638993169,1
-1.337979798040322,-0.871152304099078,4
-0.9530722637294458,-1.2330378012911138,4
-1.0866596844294425,-1.5783096324569454,4
2.300668146772668,-1.3120305643246257,0
2.5836739005200062,-0.11151205910582476,2
-2.6316580315389353,0.3763733408330951,3
1.4619279203143998,0.4597900550614419,0
1.2301076804748934,-1.293966837381352,0
1.6277668797943925,-0.28113819936508594,0
-1.0659684742266922,-1.615269646743128,4
-0.09072186833221851,-1.565639230164971,4
-0.5200345093811706,-0.18256891978785145,4
-0.8126535221340344,2.287928092911845,1
0.6912256927589858,-1.3027882037935867,0
0.6047746943000877,-1.2283154421380835,0
-3.3098688385504538,0.35029264807396515,3
-0.9073775968727849,-0.06370864805688634,4
2.3424296803879048,1.3815575079275357,2
1.4170071027032447,-1.0468040514240478,0
-0.7057028479214165,-1.5915135471054098,4
2.7299584634755805,0.603046243669295,2
1.1277316327808748,0.9280051019738249,0
-0.5665854959776621,-0.2870139307969148,4
1.8266928888854488,-1.279506937259429,0
1.4465308338559046,-1.3028860805384723,0
0.30467758618755214,-0.9937627897543474,0
-1.4819218395623608,-1.4925483841369294,4
1.5709725618842647,-1.247882511074017,0
1.9432508852024604,-0.37723879273094346,0
2.2144039771012505,-0.4093422901015243,0
-1.6746003108648386,-0.2202571125147425,4
-0.7833002035987531,-1.4516737569084968,4
-1.5538440559255289,-1.7334924616276,4
-0.7457342419002642,-1.5447711871045868,4
2.4354077832561947,-1.3106482491538303,0
-0.811400682283828,-1.6142461030297697,4
-1.3456097377780445,-0.6829696912602244,4
1.0970634386158409,-0.7639774942089007,0
-1.0445229776306701,-1.5286960815502575,4
-2.0736714350519456,1.8923278556779946,3
-1.0390944265862996,-1.3889183338672493,4
-1.082741396273832,-1.4517356029764583,4
-0.9694761864896186,-1.0180196496998692,4
-1.4971409840118008,0.9142704429353248,1
-1.9957743387924947,0.6249213399123099,3
3.3439240474353644,0.1333482326281104,2
1.5888928736707968,-0.34212925993158416,0
-1.2540465109902472,-1.1177945196389651,4
-2.4211755319617287,-1.814826102854838,4
-0.49300620587627986,-1.338721572683267,4
-1.532943352443045,-1.0076365160909024,4
-2.374672371168694,-0.8504864173521994,4
-2.1134872573063457,1.5602926958764436,3
-1.8784659748035233,1.4668400062948612,3
-1.8232508838539532,0.04783866556212453,3
-0.4797369350334707,-0.5799645884819618,4
-0.43665912314392874,-0.7294045877944342,4
-2.3666022319282844,0.860802197559871,3
1.035099507621698,0.16405096364642735,0
1.0466870845652434,-0.8703932842075558,0
-0.5222996314128222,1.9495799940729497,1
-1.8844009924085636,-0.6928710828908734,4
-0.5644442442499494,-1.0321402497436518,4
-0.43108639473678934,-0.7747586246091799,4
0.8915770627548592,-0.3334562285144438,0
-3.254277285344542,-1.4796912159103164,4
3.4807887549300083,-0.6381951604160905,2
-1.2913098282358457,-1.5271596393152198,4
3.459896244072302,0.1871586238406821,2
1.7306353043939384,1.8337851929795181,2
-1.3515712596664928,-1.4319731549749817,4
-3.675871171341511,0.901337112601492,3
-1.5684558662960137,-1.3334151401509287,4
1.9249675407341393,0.7356473841944798,2
-1.2015552746574407,0.7768481889378132,1
-2.0455197072845537,-1.2598941683423812,4
-2.846509872541762,-0.9191004684287469,3
-1.0799828179563893,1.6864954885866716,1
0.43426482509104114,-0.721572479956456,0
-2.8175122480117034,-1.3927061152616003,4
-1.3617964658555386,-1.5775079595561134,4
-0.69149357243103,-0.9257284886311943,4
2.4145013108606137,1.3269538561407461,2
3.485660201483582,0.08591321631117334,2
3.6850985192165724,-0.590299093563284,2
-1.9234631960792765,1.005754248711932,3
